Date,Team,Acquired,Relinquished,Notes
2018-12-16,Raptors,, Fred VanVleet,placed on IL with sore lower back
2018-12-16,Raptors,, Kyle Lowry,placed on IL with left thigh injury
2018-12-16,Wizards,, Austin Rivers,placed on IL
2018-12-16,Wizards,, Kelly Oubre Jr.,placed on IL
2018-12-16,Wizards, Jordan McRae,,activated from IL
2018-12-17,Bucks,, Ersan Ilyasova,placed on IL with fractured nose
2018-12-17,Bucks, D.J. Wilson,,activated from IL
2018-12-17,Bulls,, Jabari Parker,placed on IL with stomach illness
2018-12-17,Grizzlies,, Mike Conley Jr.,placed on IL with left hamstring injury
2018-12-17,Grizzlies, Kyle Anderson,,activated from IL
2018-12-17,Kings, Skal Labissiere,,activated from IL
2018-12-17,Pistons, Zaur Pachulia / Zaza Pachulia,,activated from IL
2018-12-17,Rockets,, Isaiah Hartenstein,placed on IL
2018-12-17,Warriors, Andre Iguodala,,activated from IL
2018-12-17,Warriors, Shaun Livingston,,activated from IL
2018-12-18,Mavericks,, Maximilian Kleber / Maxi Kleber,placed on IL with toe injury
2018-12-18,Mavericks, Jose Juan Barea / Jose Barea / J.J. Barea,,activated from IL
2018-12-18,Pacers,, Alize Johnson,placed on IL
2018-12-18,Pacers, Tyreke Evans,,activated from IL
2018-12-18,Wizards, Trevor Ariza,,activated from IL
2018-12-19,76ers,, Jonah Bolden,placed on IL
2018-12-19,Bucks,, Jaylen Morris,placed on IL
2018-12-19,Bucks, Malcolm Brogdon,,activated from IL
2018-12-19,Celtics,, Marcus Morris,placed on IR with sore right knee
2018-12-19,Grizzlies,, Joakim Noah,placed on IL with right heel injury
2018-12-19,Grizzlies,, Yuta Watanabe,placed on IL
2018-12-19,Grizzlies, Chandler Parsons,,activated from IL
2018-12-19,Grizzlies, Mike Conley Jr.,,activated from IL
2018-12-19,Kings,, Harry Giles III,placed on IL
2018-12-19,Pelicans,, Julius Randle,placed on IL with sprained right ankle
2018-12-19,Raptors, Fred VanVleet,,activated from IL
2018-12-19,Rockets, Isaiah Hartenstein,,activated from IL
2018-12-19,Suns, Kelly Oubre Jr.,,activated from IL
2018-12-19,Timberwolves,, Jeff Teague,placed on IL with left ankle injury
2018-12-19,Timberwolves, Jerryd Bayless,,activated from IL
2018-12-20,Clippers, Louis Williams / Lou Williams,,activated from IL
2018-12-20,Mavericks, Maximilian Kleber / Maxi Kleber,,activated from IL
2018-12-20,Rockets,, Isaiah Hartenstein,placed on IL
2018-12-21,Celtics,, Aron Baynes,placed on IL with fractured left hand
2018-12-21,Celtics, Guerschon Yabusele,,activated from IL
2018-12-21,Grizzlies,, Chandler Parsons,placed on IL
2018-12-21,Grizzlies, Yuta Watanabe,,activated from IL
2018-12-21,Lakers, Brandon Ingram,,activated from IL
2018-12-21,Lakers, Rajon Rondo,,activated from IL
2018-12-21,Magic,, Jonathon Simmons,placed on IL with sprained right ankle
2018-12-21,Pelicans, Julius Randle,,activated from IL
2018-12-22,76ers,, Wilson Chandler,placed on IL with bruised left quadricep
2018-12-22,76ers, Jonah Bolden,,activated from IL
2018-12-22,Raptors,, Kawhi Leonard,placed on IL
2018-12-22,Raptors, Kyle Lowry,,activated from IL
2018-12-22,Rockets,, Chris Paul,placed on IL with strained left hamstring
2018-12-22,Warriors,, Jacob Evans,placed on IL with left foot injury
2018-12-23,Bulls, Jabari Parker,,activated from IL
2018-12-23,Cavaliers,, Rodney Hood,placed on IL with left Achilles injury
2018-12-23,Celtics, Al Horford,,activated from IL
2018-12-23,Celtics, Marcus Morris,,activated from IL
2018-12-23,Grizzlies,, Omri Casspi,placed on IL with illness
2018-12-23,Grizzlies, Dillon Brooks,,activated from IL
2018-12-23,Hawks,, John Collins (Martin),placed on IL with sprained left ankle
2018-12-23,Hawks, Alex Poythress,,activated from IL
2018-12-23,Heat,, Rodney McGruder,placed on IL with stomach illness
2018-12-23,Kings, Harry Giles III,,activated from IL
2018-12-23,Magic, Jonathon Simmons,,activated from IL
2018-12-23,Pacers,, Tyreke Evans,placed on IL with bruised right knee
2018-12-23,Timberwolves,, Derrick Rose,placed on IL with sore left ankle
2018-12-25,76ers, Wilson Chandler,,activated from IL
2018-12-25,Bucks, Donte DiVincenzo,,activated from IL
2018-12-25,Knicks, Allonzo Trier,,activated from IL
2018-12-25,Rockets, Austin Rivers,,activated from IL
2018-12-25,Rockets, Isaiah Hartenstein,,activated from IL
2018-12-26,Bulls, Zach LaVine,,activated from IL
2018-12-26,Cavaliers,, David Nwaba,placed on IL with sprained left ankle
2018-12-26,Cavaliers, Rodney Hood,,activated from IL
2018-12-26,Grizzlies,, Yuta Watanabe,placed on IL
2018-12-26,Grizzlies, Joakim Noah,,activated from IL
2018-12-26,Grizzlies, Omri Casspi,,activated from IL
2018-12-26,Hawks,, Jaylen Adams,placed on IL
2018-12-26,Hawks, John Collins (Martin),,activated from IL
2018-12-26,Hawks, Omari Spellman,,activated from IL
2018-12-26,Heat, Rodney McGruder,,activated from IL
2018-12-26,Nets,, Treveon Graham,placed on IL
2018-12-26,Pacers, Tyreke Evans,,activated from IL
2018-12-26,Raptors,, Chris Boucher,placed on IL
2018-12-26,Raptors,, Kyle Lowry,placed on IL with sore lower back
2018-12-26,Raptors, Kawhi Leonard,,activated from IL
2018-12-26,Timberwolves, Derrick Rose,,activated from IL
2018-12-26,Wizards,, Jordan McRae,placed on IL
2018-12-27,76ers,, 76ers,placed on IL
2018-12-27,Celtics,, Robert Williams III,placed on IL with strained left groin
2018-12-27,Knicks,, Tim Hardaway Jr.,placed on IL with illness
2018-12-27,Lakers,, LeBron James,placed on IL with strained left groin
2018-12-27,Lakers,, Rajon Rondo,placed on IL with right finger injury
2018-12-27,Rockets,, Isaiah Hartenstein,placed on IL
2018-12-27,Warriors, Jacob Evans,,activated from IL
2018-12-28,Mavericks,, Wesley Matthews / Wes Matthews Jr.,placed on IL with sore right foot
2018-12-28,Mavericks, Dennis Smith Jr.,,activated from IL
2018-12-28,Nets, Treveon Graham,,activated from IL
2018-12-28,Raptors, Chris Boucher,,activated from IL
2018-12-28,Spurs, Pau Gasol,,activated from IL
2018-12-28,Thunder,, Alex Abrines,placed on IL with illness
2018-12-28,Wizards,, John Wall (Hildred),placed on IL with torn left Achilles tendon (out for season)
2018-12-28,Wizards,, Markieff Morris,placed on IL with stiff neck
2018-12-28,Wizards, Jordan McRae,,activated from IL
2018-12-29,Grizzlies,, Ivan Rabb,placed on IL
2018-12-29,Hawks,, Dewayne Dedmon,placed on IL with sore left knee
2018-12-29,Hawks,, Omari Spellman,placed on IL
2018-12-29,Hawks, Miles Plumlee,,activated from IL
2018-12-29,Hornets,, (William) Tony Parker,placed on IL
2018-12-29,Hornets, Bismack Biyombo,,activated from IL
2018-12-29,Jazz,, Jae Crowder,placed on IL with left thumb injury
2018-12-29,Jazz,, Ricky Rubio,placed on IL with bruised lower back
2018-12-29,Knicks, Tim Hardaway Jr.,,activated from IL
2018-12-29,Nuggets, Paul Millsap,,activated from IL
2018-12-29,Pelicans,, Darius Miller,placed on IL with illness
2018-12-29,Wizards,, Jordan McRae,placed on IL
2018-12-29,Wizards, Markieff Morris,,activated from IL
2018-12-29,Rockets,, Brandon Knight,placed on IL
2018-12-30,Blazers,, Maurice Harkless / Moe Harkless,placed on IL with left knee injury
2018-12-30,Timberwolves,, Derrick Rose,placed on IL with sprained right ankle
2018-12-31,Hawks,, Kent Bazemore,placed on IL with sprained right ankle
2018-12-31,Hornets, (William) Tony Parker,,activated from IL
2018-12-31,Magic,, Jonathon Simmons,placed on IL with sprained left ankle
2018-12-31,Mavericks, Wesley Matthews / Wes Matthews Jr.,,activated from IL
2018-12-31,Pelicans,, Frank Jackson,placed on IL
2018-12-31,Pelicans, Darius Miller,,activated from IL
2018-12-31,Pelicans, Elfrid Payton,,activated from IL
2018-12-31,Rockets,, Eric Gordon,placed on IL with bruised right knee
2018-12-31,Rockets, Brandon Knight,,activated from IL
2018-12-31,Suns,, Richaun Holmes,placed on IL with illness
2018-12-31,Warriors,, Jacob Evans,placed on IL
2019-01-01,Blazers, Gary Trent Jr.,,activated from IL
2019-01-01,Blazers, Maurice Harkless / Moe Harkless,,activated from IL
2019-01-01,Jazz, Jae Crowder,,activated from IL
2019-01-01,Jazz, Ricky Rubio,,activated from IL
2019-01-01,Nuggets, Gary Harris,,activated from IL
2019-01-02,76ers,, Jimmy Butler,placed on IL with upper respiratory infection
2019-01-02,Cavaliers,, Ante Zizic,placed on IL
2019-01-02,Cavaliers, Tristan Thompson,,activated from IL
2019-01-02,Celtics,, Kyrie Irving,placed on IL with right eye injury
2019-01-02,Grizzlies, Ivan Rabb,,activated from IL
2019-01-02,Hawks,, Alex Poythress,placed on IL
2019-01-02,Hawks, Dewayne Dedmon,,activated from IL
2019-01-02,Heat, Dion Waiters,,activated from IL
